problem,solver,settings,runtime,found,primal_residual,dual_residual,duality_gap
QUADCMPC1,clarabel,default,0.008824192998872604,True,3.5093043718550006e-15,4.964106980952058e-11,4.866679290680811e-09
QUADCMPC1,clarabel,high_accuracy,0.008763970003201393,True,4.498585320189686e-16,3.6688718910803816e-12,1.494269430846454e-10
QUADCMPC1,clarabel,low_accuracy,0.005828694000229007,True,5.0230563136913614e-09,1.5793834908867351e-07,0.000699561534970651
QUADCMPC1,clarabel,mid_accuracy,0.007441214002028573,True,1.5875631925712845e-13,9.735232338603098e-12,7.916657811318117e-07
QUADCMPC1,cvxopt,default,0.39360357699843007,False,inf,inf,inf
QUADCMPC1,cvxopt,high_accuracy,0.4077705430026981,False,inf,inf,inf
QUADCMPC1,cvxopt,low_accuracy,0.41463472999748774,False,inf,inf,inf
QUADCMPC1,cvxopt,mid_accuracy,0.4168695930020476,False,inf,inf,inf
QUADCMPC1,gurobi,default,0.005485434001457179,False,inf,inf,inf
QUADCMPC1,gurobi,high_accuracy,0.005670791997545166,False,inf,inf,inf
QUADCMPC1,gurobi,low_accuracy,0.0038580680011364166,False,inf,inf,inf
QUADCMPC1,gurobi,mid_accuracy,0.003988571999798296,False,inf,inf,inf
QUADCMPC1,highs,default,10.001371250000375,False,inf,inf,inf
QUADCMPC1,highs,high_accuracy,10.001179712999146,False,inf,inf,inf
QUADCMPC1,highs,low_accuracy,0.31028458299988415,True,3.2862601528904634e-14,3.0000000000005066e-06,0.49041038334866927
QUADCMPC1,highs,mid_accuracy,10.001123147001636,False,inf,inf,inf
QUADCMPC1,kvxopt,default,0.4189473629994609,False,inf,inf,inf
QUADCMPC1,kvxopt,high_accuracy,0.41236013999878196,False,inf,inf,inf
QUADCMPC1,kvxopt,low_accuracy,0.4291445990020293,False,inf,inf,inf
QUADCMPC1,kvxopt,mid_accuracy,0.4259544269989419,False,inf,inf,inf
QUADCMPC1,osqp,default,0.00431635199856828,True,0.006833757183694417,1.1592721943786259e-05,0.00042451306316703373
QUADCMPC1,osqp,high_accuracy,0.07110891699994681,False,inf,inf,inf
QUADCMPC1,osqp,low_accuracy,0.007982761999301147,True,0.0003194290088905029,3.2504940493912805e-06,0.0008766210163275636
